,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.9150)
1,1,0,1,tox,tensor(0.9157)
2,2,0,2,tox,tensor(0.9208)
3,3,0,3,tox,tensor(0.9223)
4,4,0,4,tox,tensor(0.9243)
5,5,0,5,tox,tensor(0.9262)
6,6,0,6,tox,tensor(0.9282)
7,7,0,7,tox,tensor(0.9304)
8,8,0,8,tox,tensor(0.9316)
9,9,0,9,tox,tensor(0.9327)
10,10,0,10,tox,tensor(0.9335)
11,11,0,11,tox,tensor(0.9348)
12,12,0,12,tox,tensor(0.9358)
13,13,0,13,tox,tensor(0.9366)
14,14,0,14,tox,tensor(0.9373)
15,15,0,15,tox,tensor(0.9380)
16,16,0,16,tox,tensor(0.9388)
17,17,0,17,tox,tensor(0.9391)
18,18,0,18,tox,tensor(0.9397)
19,19,0,19,tox,tensor(0.9402)
20,20,0,20,tox,tensor(0.9407)
21,21,0,21,tox,tensor(0.9412)
22,22,0,22,tox,tensor(0.9416)
23,23,0,23,tox,tensor(0.9420)
24,24,0,24,tox,tensor(0.9423)
25,25,0,25,tox,tensor(0.9426)
26,26,0,26,tox,tensor(0.9429)
27,27,0,27,tox,tensor(0.9431)
28,28,0,28,tox,tensor(0.9434)
29,29,0,29,tox,tensor(0.9436)
30,30,0,30,tox,tensor(0.9439)
31,31,0,31,tox,tensor(0.9439)
32,32,0,32,tox,tensor(0.9441)
33,33,0,33,tox,tensor(0.9444)
34,34,0,34,tox,tensor(0.9446)
35,35,0,35,tox,tensor(0.9448)
36,36,0,36,tox,tensor(0.9450)
37,37,0,37,tox,tensor(0.9451)
38,38,0,38,tox,tensor(0.9453)
39,39,0,39,tox,tensor(0.9454)
40,40,0,40,tox,tensor(0.9455)
41,41,0,41,tox,tensor(0.9456)
42,42,0,42,tox,tensor(0.9458)
43,43,0,43,tox,tensor(0.9459)
44,44,0,44,tox,tensor(0.9460)
45,45,0,45,tox,tensor(0.9462)
46,46,0,46,tox,tensor(0.9463)
47,47,0,47,tox,tensor(0.9464)
48,48,0,48,tox,tensor(0.9465)
49,49,0,49,tox,tensor(0.9466)
