,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.1384)
1,1,0,1,tox,tensor(0.1458)
2,2,0,2,tox,tensor(0.1477)
3,3,0,3,tox,tensor(0.1507)
4,4,0,4,tox,tensor(0.1529)
5,5,0,5,tox,tensor(0.1584)
6,6,0,6,tox,tensor(0.1633)
7,7,0,7,tox,tensor(0.1660)
8,8,0,8,tox,tensor(0.1712)
9,9,0,9,tox,tensor(0.1758)
10,10,0,10,tox,tensor(0.1812)
11,11,0,11,tox,tensor(0.1857)
12,12,0,12,tox,tensor(0.1909)
13,13,0,13,tox,tensor(0.1963)
14,14,0,14,tox,tensor(0.2051)
15,15,0,15,tox,tensor(0.2133)
16,16,0,16,tox,tensor(0.2233)
17,17,0,17,tox,tensor(0.2343)
18,18,0,18,tox,tensor(0.2443)
19,19,0,19,tox,tensor(0.2561)
20,20,0,20,tox,tensor(0.2667)
21,21,0,21,tox,tensor(0.2773)
22,22,0,22,tox,tensor(0.2884)
23,23,0,23,tox,tensor(0.3011)
24,24,0,24,tox,tensor(0.3143)
25,25,0,25,tox,tensor(0.3259)
26,26,0,26,tox,tensor(0.3382)
27,27,0,27,tox,tensor(0.3489)
28,28,0,28,tox,tensor(0.3598)
29,29,0,29,tox,tensor(0.3707)
30,30,0,30,tox,tensor(0.3809)
31,31,0,31,tox,tensor(0.3922)
32,32,0,32,tox,tensor(0.4031)
33,33,0,33,tox,tensor(0.4134)
34,34,0,34,tox,tensor(0.4238)
35,35,0,35,tox,tensor(0.4331)
36,36,0,36,tox,tensor(0.4418)
37,37,0,37,tox,tensor(0.4504)
38,38,0,38,tox,tensor(0.4590)
39,39,0,39,tox,tensor(0.4675)
40,40,0,40,tox,tensor(0.4755)
41,41,0,41,tox,tensor(0.4838)
42,42,0,42,tox,tensor(0.4914)
43,43,0,43,tox,tensor(0.4982)
44,44,0,44,tox,tensor(0.5055)
45,45,0,45,tox,tensor(0.5121)
46,46,0,46,tox,tensor(0.5189)
47,47,0,47,tox,tensor(0.5255)
48,48,0,48,tox,tensor(0.5317)
49,49,0,49,tox,tensor(0.5375)
