,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.8948)
1,1,0,1,tox,tensor(0.9071)
2,2,0,2,tox,tensor(0.9063)
3,3,0,3,tox,tensor(0.9096)
4,4,0,4,tox,tensor(0.9138)
5,5,0,5,tox,tensor(0.9174)
6,6,0,6,tox,tensor(0.9203)
7,7,0,7,tox,tensor(0.9236)
8,8,0,8,tox,tensor(0.9254)
9,9,0,9,tox,tensor(0.9275)
10,10,0,10,tox,tensor(0.9300)
11,11,0,11,tox,tensor(0.9317)
12,12,0,12,tox,tensor(0.9331)
13,13,0,13,tox,tensor(0.9343)
14,14,0,14,tox,tensor(0.9354)
15,15,0,15,tox,tensor(0.9363)
16,16,0,16,tox,tensor(0.9373)
17,17,0,17,tox,tensor(0.9384)
18,18,0,18,tox,tensor(0.9393)
19,19,0,19,tox,tensor(0.9400)
20,20,0,20,tox,tensor(0.9407)
21,21,0,21,tox,tensor(0.9413)
22,22,0,22,tox,tensor(0.9420)
23,23,0,23,tox,tensor(0.9426)
24,24,0,24,tox,tensor(0.9432)
25,25,0,25,tox,tensor(0.9437)
26,26,0,26,tox,tensor(0.9442)
27,27,0,27,tox,tensor(0.9445)
28,28,0,28,tox,tensor(0.9450)
29,29,0,29,tox,tensor(0.9455)
30,30,0,30,tox,tensor(0.9458)
31,31,0,31,tox,tensor(0.9461)
32,32,0,32,tox,tensor(0.9466)
33,33,0,33,tox,tensor(0.9469)
34,34,0,34,tox,tensor(0.9472)
35,35,0,35,tox,tensor(0.9475)
36,36,0,36,tox,tensor(0.9478)
37,37,0,37,tox,tensor(0.9481)
38,38,0,38,tox,tensor(0.9483)
39,39,0,39,tox,tensor(0.9486)
40,40,0,40,tox,tensor(0.9489)
41,41,0,41,tox,tensor(0.9492)
42,42,0,42,tox,tensor(0.9494)
43,43,0,43,tox,tensor(0.9496)
44,44,0,44,tox,tensor(0.9498)
45,45,0,45,tox,tensor(0.9500)
46,46,0,46,tox,tensor(0.9502)
47,47,0,47,tox,tensor(0.9504)
48,48,0,48,tox,tensor(0.9506)
49,49,0,49,tox,tensor(0.9507)
