,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.3228)
1,1,0,1,tox,tensor(0.3807)
2,2,0,2,tox,tensor(0.3982)
3,3,0,3,tox,tensor(0.4158)
4,4,0,4,tox,tensor(0.4460)
5,5,0,5,tox,tensor(0.4658)
6,6,0,6,tox,tensor(0.4830)
7,7,0,7,tox,tensor(0.4991)
8,8,0,8,tox,tensor(0.5125)
9,9,0,9,tox,tensor(0.5263)
10,10,0,10,tox,tensor(0.5372)
11,11,0,11,tox,tensor(0.5459)
12,12,0,12,tox,tensor(0.5551)
13,13,0,13,tox,tensor(0.5633)
14,14,0,14,tox,tensor(0.5737)
15,15,0,15,tox,tensor(0.5821)
16,16,0,16,tox,tensor(0.5891)
17,17,0,17,tox,tensor(0.5959)
18,18,0,18,tox,tensor(0.6020)
19,19,0,19,tox,tensor(0.6085)
20,20,0,20,tox,tensor(0.6148)
21,21,0,21,tox,tensor(0.6207)
22,22,0,22,tox,tensor(0.6269)
23,23,0,23,tox,tensor(0.6328)
24,24,0,24,tox,tensor(0.6384)
25,25,0,25,tox,tensor(0.6439)
26,26,0,26,tox,tensor(0.6493)
27,27,0,27,tox,tensor(0.6548)
28,28,0,28,tox,tensor(0.6600)
29,29,0,29,tox,tensor(0.6643)
30,30,0,30,tox,tensor(0.6685)
31,31,0,31,tox,tensor(0.6728)
32,32,0,32,tox,tensor(0.6769)
33,33,0,33,tox,tensor(0.6803)
34,34,0,34,tox,tensor(0.6839)
35,35,0,35,tox,tensor(0.6870)
36,36,0,36,tox,tensor(0.6899)
37,37,0,37,tox,tensor(0.6930)
38,38,0,38,tox,tensor(0.6961)
39,39,0,39,tox,tensor(0.6989)
40,40,0,40,tox,tensor(0.7018)
41,41,0,41,tox,tensor(0.7045)
42,42,0,42,tox,tensor(0.7074)
43,43,0,43,tox,tensor(0.7100)
44,44,0,44,tox,tensor(0.7122)
45,45,0,45,tox,tensor(0.7149)
46,46,0,46,tox,tensor(0.7173)
47,47,0,47,tox,tensor(0.7195)
48,48,0,48,tox,tensor(0.7216)
49,49,0,49,tox,tensor(0.7238)
