,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.8133)
1,1,0,1,tox,tensor(0.8306)
2,2,0,2,tox,tensor(0.8434)
3,3,0,3,tox,tensor(0.8543)
4,4,0,4,tox,tensor(0.8633)
5,5,0,5,tox,tensor(0.8682)
6,6,0,6,tox,tensor(0.8739)
7,7,0,7,tox,tensor(0.8782)
8,8,0,8,tox,tensor(0.8817)
9,9,0,9,tox,tensor(0.8852)
10,10,0,10,tox,tensor(0.8884)
11,11,0,11,tox,tensor(0.8912)
12,12,0,12,tox,tensor(0.8940)
13,13,0,13,tox,tensor(0.8967)
14,14,0,14,tox,tensor(0.8986)
15,15,0,15,tox,tensor(0.9002)
16,16,0,16,tox,tensor(0.9019)
17,17,0,17,tox,tensor(0.9037)
18,18,0,18,tox,tensor(0.9053)
19,19,0,19,tox,tensor(0.9068)
20,20,0,20,tox,tensor(0.9082)
21,21,0,21,tox,tensor(0.9094)
22,22,0,22,tox,tensor(0.9108)
23,23,0,23,tox,tensor(0.9120)
24,24,0,24,tox,tensor(0.9130)
25,25,0,25,tox,tensor(0.9140)
26,26,0,26,tox,tensor(0.9150)
27,27,0,27,tox,tensor(0.9158)
28,28,0,28,tox,tensor(0.9166)
29,29,0,29,tox,tensor(0.9174)
30,30,0,30,tox,tensor(0.9180)
31,31,0,31,tox,tensor(0.9186)
32,32,0,32,tox,tensor(0.9192)
33,33,0,33,tox,tensor(0.9198)
34,34,0,34,tox,tensor(0.9204)
35,35,0,35,tox,tensor(0.9209)
36,36,0,36,tox,tensor(0.9215)
37,37,0,37,tox,tensor(0.9219)
38,38,0,38,tox,tensor(0.9223)
39,39,0,39,tox,tensor(0.9228)
40,40,0,40,tox,tensor(0.9232)
41,41,0,41,tox,tensor(0.9237)
42,42,0,42,tox,tensor(0.9241)
43,43,0,43,tox,tensor(0.9245)
44,44,0,44,tox,tensor(0.9248)
45,45,0,45,tox,tensor(0.9251)
46,46,0,46,tox,tensor(0.9255)
47,47,0,47,tox,tensor(0.9258)
48,48,0,48,tox,tensor(0.9261)
49,49,0,49,tox,tensor(0.9264)
