,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.3111)
1,1,0,1,tox,tensor(0.3222)
2,2,0,2,tox,tensor(0.3259)
3,3,0,3,tox,tensor(0.3222)
4,4,0,4,tox,tensor(0.3274)
5,5,0,5,tox,tensor(0.3235)
6,6,0,6,tox,tensor(0.3280)
7,7,0,7,tox,tensor(0.3287)
8,8,0,8,tox,tensor(0.3267)
9,9,0,9,tox,tensor(0.3244)
10,10,0,10,tox,tensor(0.3300)
11,11,0,11,tox,tensor(0.3333)
12,12,0,12,tox,tensor(0.3368)
13,13,0,13,tox,tensor(0.3349)
14,14,0,14,tox,tensor(0.3353)
15,15,0,15,tox,tensor(0.3389)
16,16,0,16,tox,tensor(0.3403)
17,17,0,17,tox,tensor(0.3428)
18,18,0,18,tox,tensor(0.3446)
19,19,0,19,tox,tensor(0.3456)
20,20,0,20,tox,tensor(0.3499)
21,21,0,21,tox,tensor(0.3525)
22,22,0,22,tox,tensor(0.3543)
23,23,0,23,tox,tensor(0.3531)
24,24,0,24,tox,tensor(0.3547)
25,25,0,25,tox,tensor(0.3584)
26,26,0,26,tox,tensor(0.3613)
27,27,0,27,tox,tensor(0.3614)
28,28,0,28,tox,tensor(0.3635)
29,29,0,29,tox,tensor(0.3637)
30,30,0,30,tox,tensor(0.3658)
31,31,0,31,tox,tensor(0.3653)
32,32,0,32,tox,tensor(0.3666)
33,33,0,33,tox,tensor(0.3686)
34,34,0,34,tox,tensor(0.3699)
35,35,0,35,tox,tensor(0.3712)
36,36,0,36,tox,tensor(0.3722)
37,37,0,37,tox,tensor(0.3750)
38,38,0,38,tox,tensor(0.3778)
39,39,0,39,tox,tensor(0.3787)
40,40,0,40,tox,tensor(0.3810)
41,41,0,41,tox,tensor(0.3825)
42,42,0,42,tox,tensor(0.3838)
43,43,0,43,tox,tensor(0.3850)
44,44,0,44,tox,tensor(0.3855)
45,45,0,45,tox,tensor(0.3871)
46,46,0,46,tox,tensor(0.3868)
47,47,0,47,tox,tensor(0.3878)
48,48,0,48,tox,tensor(0.3890)
49,49,0,49,tox,tensor(0.3908)
