TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-1724,ACETONE CYANOHYDRIN,2-hydroxy-2-methylpropanenitrile,6406,CC(C)(O)C#N,MWFMGBPGAXYFAR-UHFFFAOYSA-N,149.989425
TOX-2190,,pyridine,1049,c1ccncc1,JUJWROOIHBZHMG-UHFFFAOYSA-N,999.9747168
TOX-2215,Fenchlorphos,"dimethoxy-sulfanylidene-(2,4,5-trichlorophenoxy)-lambda5-phosphane",9298,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,JHJOOSLFWRRSGU-UHFFFAOYSA-N,1999.695224
TOX-2288,undecylenic acid,undec-10-enoic acid,5634,C=CCCCCCCCCC(=O)O,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,49.997558
TOX-2644,Aziridine,aziridine,9033,C1CN1,NOWKCMXCCJGMRR-UHFFFAOYSA-N,14.00032504
TOX-3895,,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",8343,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,10000.92174
TOX-4170,Clofenotane,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",3036,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,YVGGHNCTFXOJCH-UHFFFAOYSA-N,1000.025388
TOX-4304,parathion,diethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,991,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,44.99922748
TOX-4347,METHYLHYDRAZINE,methylhydrazine,6061,CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N,47.99895823
TOX-4351,dimethoate,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,3082,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,965.1557375
TOX-4375,FLUOROACETIC ACID,2-fluoroacetic acid,5237,O=C(O)CF,QEWYKACRFQMRMB-UHFFFAOYSA-N,1.599958996
TOX-4397,IODOACETIC ACID,2-iodoacetic acid,5240,O=C(O)CI,JDNTWHVOXJZDSN-UHFFFAOYSA-N,125.0013443
TOX-4494,IODOMETHANE,iodomethane,6328,CI,INQOMBQAUSQDDS-UHFFFAOYSA-N,800.0000003
TOX-4520,Tetramethylammonium,tetramethylazanium,6380,C[N+](C)(C)C,QEMXHQIAXOOASZ-UHFFFAOYSA-N,24.99763985
TOX-4527,METHANESULFONIC ACID,methanesulfonic acid,6395,CS(=O)(=O)O,AFVFQIVMOAPDHO-UHFFFAOYSA-N,2000.062431
TOX-4575,TABUN,[dimethylamino(ethoxy)phosphoryl]formonitrile,6500,CCOP(=O)(C#N)N(C)C,PJVJTCIRVMBVIA-UHFFFAOYSA-N,35.00021585
TOX-4651,METHACRYLIC ACID,2-methylprop-2-enoic acid,4093,C=C(C)C(=O)O,CERQOIWHTDAKMF-UHFFFAOYSA-N,999.9999996
TOX-4667,,4-(4-hydroxyphenyl)sulfonylphenol,6626,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,VPWNQTHUCYMVMZ-UHFFFAOYSA-N,0.999980022
TOX-4754,,"2,6-dibromonaphthalene-1,5-diol",96260,Oc1c(Br)ccc2c(O)c(Br)ccc12,GHJUWGHWJYULLK-UHFFFAOYSA-N,1999.97484
TOX-4759,DIISOBUTYL PHTHALATE,"bis(2-methylpropyl) benzene-1,2-dicarboxylate",6782,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,MGWAVDBGNNKXQV-UHFFFAOYSA-N,9999.712593
TOX-4784,,"2-O-(2-ethoxy-2-oxoethyl) 1-O-methyl benzene-1,2-dicarboxylate",221066,CCOC(=O)COC(=O)c1ccccc1C(=O)OC,OYMDOVKIWFMTAW-UHFFFAOYSA-N,10000.03757
TOX-4799,Azinphos-methyl,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",2268,COP(=S)(OC)SCn1nnc2ccccc2c1=O,CJJOSEISRRTUQB-UHFFFAOYSA-N,279.9717643
TOX-4888,,2-butan-2-ylphenol,6984,CCC(C)c1ccccc1O,NGFPWHGISWUQOI-UHFFFAOYSA-N,599.9960063
TOX-4928,Phthalonitrile,"benzene-1,2-dicarbonitrile",7042,N#Cc1ccccc1C#N,XQZYPMVTSDWCCE-UHFFFAOYSA-N,999.9687824
TOX-4962,,N-(2-methoxyphenyl)-3-oxo-3-phenylpropanamide,7079,COc1ccccc1NC(=O)CC(=O)c1ccccc1,FTYSHTGKLFLKRX-UHFFFAOYSA-N,999.9628676
TOX-4968,Phenidone,1-phenylpyrazolidin-3-one,7090,O=C1CCN(c2ccccc2)N1,CMCWWLVWPDLCRM-UHFFFAOYSA-N,999.9876693
TOX-5011,,N-(2-methylphenyl)-3-oxobutanamide,7154,CC(=O)CC(=O)Nc1ccccc1C,TVZIWRMELPWPPR-UHFFFAOYSA-N,1000
TOX-5084,,2-aminophenol,5801,Nc1ccccc1O,CDAWCLOXVUBKRW-UHFFFAOYSA-N,1000.018327
TOX-5091,Methylhydroquinone,"2-methylbenzene-1,4-diol",7253,Cc1cc(O)ccc1O,CNHDIAIOKMXOLK-UHFFFAOYSA-N,1000.008055
TOX-5112,,2-methylbutanal,7284,CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N,19999.07123
TOX-5129,gamma-Butyrolactone,oxolan-2-one,7302,O=C1CCCO1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,5000.000006
TOX-5171,FURFURYL ALCOHOL,furan-2-ylmethanol,7361,OCC1CCCO1,XPFVYQJUAUNWIW-UHFFFAOYSA-N,4802.561372
TOX-5256,,4-nitroaniline,7475,Nc1ccc([N+](=O)[O-])cc1,TYMLOMAKGOJONV-UHFFFAOYSA-N,499.9782806
TOX-5257,,4-nitrophenol,980,O=[N+]([O-])c1ccc(O)cc1,BTJIUGUIPKRLHP-UHFFFAOYSA-N,999.9999991
TOX-5340,,"1-N,4-N-di(butan-2-yl)benzene-1,4-diamine",7589,CCC(C)Nc1ccc(NC(C)CC)cc1,FSWDLYNGJBGFJH-UHFFFAOYSA-N,4999.773103
TOX-5343,ACETOACETANILIDE,3-oxo-N-phenylbutanamide,7592,CC(=O)CC(=O)Nc1ccccc1,DYRDKSSFIWVSNM-UHFFFAOYSA-N,999.9830705
TOX-5401,,4-(butylamino)phenol,7665,CCCCNc1ccc(O)cc1,VAMBUGIXOVLJEA-UHFFFAOYSA-N,4999.818439
TOX-5451,,5-ethyl-2-methylpyridine,7728,CCc1ccc(C)nc1,NTSLROIKFLNUIJ-UHFFFAOYSA-N,2499.93811
TOX-5533,METHYL HEXANOATE,methyl hexanoate,7824,CCCCCC(=O)OC,NUKZAGXMHTUAFE-UHFFFAOYSA-N,4999.731156
TOX-5556,ACRYLONITRILE,prop-2-enenitrile,7855,C=CC#N,NLHHRLWOUZZQLW-UHFFFAOYSA-N,201.984773
TOX-5562,GLYOXAL,oxaldehyde,7860,O=CC=O,LEQAOMBKQFMDFZ-UHFFFAOYSA-N,6600.454898
TOX-5612,MALEIC ANHYDRIDE,"furan-2,5-dione",7923,O=C1C=CC(=O)O1,FPYJFEHAWHCUMM-UHFFFAOYSA-N,20000.61191
TOX-5620,,3-chloroaniline,7932,Nc1cccc(Cl)c1,PNPCRKVUWYDDST-UHFFFAOYSA-N,99.99686451
TOX-5625,,"2,6-dimethylpiperidine",68843,Cc1cccc(C)n1,SDGKUVSVPIIUCF-UHFFFAOYSA-N,2641.009369
TOX-5640,,"2,4,6-trimethylpyridine",7953,Cc1cc(C)nc(C)c1,BWZVCCNYKMEVEX-UHFFFAOYSA-N,999.9752433
TOX-5652,,3-methylpyridine,7970,Cc1cccnc1,ITQTTZVARXURQS-UHFFFAOYSA-N,1000.010737
TOX-5720,,pyridin-1-ium-1-ylboranuide,123022,[BH3-][n+]1ccccc1,LPGWNCNRGQANGC-UHFFFAOYSA-N,200.0043038
TOX-5726,Valeraldehyde,pentanal,8063,CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,19999.07123
TOX-5755,,2-ethoxyethyl acetate,8095,CCOCCOC(C)=O,SVONRAPFKPVNKG-UHFFFAOYSA-N,19460.14724
TOX-5769,Butyl isocyanate,1-isocyanatobutane,8110,CCCCN=C=O,HNHVTXYLRVGMHD-UHFFFAOYSA-N,999.969738
TOX-5774,,1-chloro-2-(2-chloroethoxy)ethane,8115,ClCCOCCCl,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,299.9937071
TOX-5795,,octan-1-ol,957,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,999.9923222
TOX-5796,Diethylene glycol monoethyl ether,2-(2-ethoxyethoxy)ethanol,8146,CCOCCOCCO,XXJWXESWEXIICW-UHFFFAOYSA-N,31998.8075
TOX-5797,,1-chloro-2-(2-chloroethoxymethoxy)ethane,8147,ClCCOCOCCCl,NLXGURFLBLRZRO-UHFFFAOYSA-N,169.9911582
