TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-1273,lindane,"1,2,3,4,5,6-hexachlorocyclohexane",727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,1499.834956
TOX-1676,,(4-hydroxy-5-methyloxolan-2-yl)methyl-trimethylazanium,5079496,CC1OC(C[N+](C)(C)C)CC1O,UQOFGTXDASPNLL-UHFFFAOYSA-N,749.9827849
TOX-1717,,naphthalen-2-ol,8663,Oc1ccc2ccccc2c1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,99.99791928
TOX-1853,,"7-[(1-ethoxy-1-oxo-4-phenylbutan-2-yl)amino]-6-oxo-1,2,3,4,7,8,9,10-octahydropyridazino[1,2-a]diazepine-4-carboxylic acid",2751,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,HHHKFGXWKKUNCY-UHFFFAOYSA-N,4999.928142
TOX-1855,Cinchophen,2-phenylquinoline-4-carboxylic acid,8593,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,YTRMTPPVNRALON-UHFFFAOYSA-N,1499.945843
TOX-1926,dyclonine,1-(4-butoxyphenyl)-3-piperidin-1-ylpropan-1-one,3180,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,BZEWSEKUUPWQDQ-UHFFFAOYSA-N,99.99343503
TOX-2068,methoxamine,"2-amino-1-(2,5-dimethoxyphenyl)propan-1-ol",6082,COc1ccc(OC)c(C(O)C(C)N)c1,WJAJPNHVVFWKKL-UHFFFAOYSA-N,134.9993609
TOX-2081,midazolam,"8-chloro-6-(2-fluorophenyl)-1-methyl-4H-imidazo[1,5-a][1,4]benzodiazepine",4192,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DDLIGBOFAVUZHB-UHFFFAOYSA-N,500.039905
TOX-2179,,"6-N-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine",4885,CCCNC1CCc2nc(N)sc2C1,FASDKYOPVNHBLU-UHFFFAOYSA-N,1699.967823
TOX-2404,ACEPROMAZINE,1-[10-[3-(dimethylamino)propyl]phenothiazin-2-yl]ethanone,6077,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,NOSIYYJFMPDDSA-UHFFFAOYSA-N,200.0214419
TOX-2474,beraprost,"4-[2-hydroxy-1-(3-hydroxy-4-methyloct-1-en-6-ynyl)-2,3,3a,8b-tetrahydro-1H-cyclopenta[b][1]benzofuran-5-yl]butanoic acid",2352,CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21,CTPOHARTNNSRSR-UHFFFAOYSA-N,30.0000753
TOX-2505,Butethal,"5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione",6473,CCCCC1(CC)C(=O)NC(=O)NC1=O,STDBAQMTJLUMFW-UHFFFAOYSA-N,100.0004711
TOX-2627,DL-Adrenaline,"4-[1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",838,CNCC(O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-UHFFFAOYSA-N,49.99808958
TOX-2643,,"1,2-dibromoethane",7839,BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,249.9973384
TOX-2709,glipizide,N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,3478,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,3999.596
TOX-2853,minaprine,4-methyl-N-(2-morpholin-4-ylethyl)-6-phenylpyridazin-3-amine,4199,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,LDMWSLGGVTVJPG-UHFFFAOYSA-N,100.0033514
TOX-2991,,"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazole-3-carboxamide",5064,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,IWUCXVSUMQZMFG-UHFFFAOYSA-N,3999.885345
TOX-3023,spermine,"N,N'-bis(3-aminopropyl)butane-1,4-diamine",1103,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,178.9946921
TOX-3487,chlorcyclizine,1-[(4-chlorophenyl)-phenylmethyl]-4-methylpiperazine,2710,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,WFNAKBGANONZEQ-UHFFFAOYSA-N,149.9835455
TOX-3504,Spectinomicina,"8,12,14-trihydroxy-5-methyl-11,13-bis(methylamino)-2,4,9-trioxatricyclo[8.4.0.03,8]tetradecan-7-one",2021,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,UNFWWIHTNXNPBV-UHFFFAOYSA-N,19999.81945
TOX-3873,carvedilol,1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol,2585,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,OGHNVEJMJSYVRP-UHFFFAOYSA-N,8000.354255
TOX-3972,sulfadiazine,4-amino-N-pyrimidin-2-ylbenzenesulfonamide,5215,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,SEEPANYCNGTZFQ-UHFFFAOYSA-N,9999.880135
TOX-4098,rebamipide,2-[(4-chlorobenzoyl)amino]-3-(2-oxo-1H-quinolin-4-yl)propanoic acid,5042,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,ALLWOAVDORUJLA-UHFFFAOYSA-N,5000.107879
TOX-4116,DL-Tryptophan,2-amino-3-(1H-indol-3-yl)propanoic acid,1148,NC(Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-UHFFFAOYSA-N,14999.33897
TOX-4286,,"(3,5-dimethyl-4-methylsulfanylphenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane",66128,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,QJRJJAATXDHPGQ-UHFFFAOYSA-N,1070.139075
TOX-4321,,10-phenoxarsinin-10-yloxyphenoxarsinine,6017,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,VCRZAKVGPJFABU-UHFFFAOYSA-N,41.99724032
TOX-4477,,"2,2-dichloroethenyl diethyl phosphate",66145,CCOP(=O)(OC=C(Cl)Cl)OCC,BVZSTBILYMMKCG-UHFFFAOYSA-N,42.00000002
TOX-4478,,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,AHJKRLASYNVKDZ-UHFFFAOYSA-N,599.9137628
TOX-4496,dimethylamine,N-methylmethanamine,674,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,49.99445488
TOX-4520,Tetramethylammonium,tetramethylazanium,6380,C[N+](C)(C)C,QEMXHQIAXOOASZ-UHFFFAOYSA-N,124.9881991
TOX-4529,,2-methylbutan-2-ol,6405,CCC(C)(C)O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,2500
TOX-4561,Isoaminile,4-(dimethylamino)-2-phenyl-2-propan-2-ylpentanenitrile,6481,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,WFLSCFISQHLEED-UHFFFAOYSA-N,377.9814388
TOX-4569,,3-methylpentan-3-ol,6493,CCC(C)(O)CC,FRDAATYAJDYRNW-UHFFFAOYSA-N,749.9486184
TOX-4586,PENTAERYTHRITOL TETRANITRATE,"[3-nitrooxy-2,2-bis(nitrooxymethyl)propyl] nitrate",6518,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],TZRXHJWUDPFEEY-UHFFFAOYSA-N,7000.110715
TOX-4640,Thiosemicarbazide,aminothiourea,2723789,NNC(N)=S,BRWIZMBXBAOCCF-UHFFFAOYSA-N,94.0010315
TOX-4665,Chlorfenethol,"1,1-bis(4-chlorophenyl)ethanol",6624,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,URYAFVKLYSEINW-UHFFFAOYSA-N,749.8455958
TOX-4669,Tetramine,"2lambda6,6lambda6-dithia-1,3,5,7-tetrazatricyclo[3.3.1.13,7]decane 2,2,6,6-tetraoxide",64148,O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,AGGKEGLBGGJEBZ-UHFFFAOYSA-N,0.200028302
TOX-4670,CUMENE HYDROPEROXIDE,2-hydroperoxypropan-2-ylbenzene,6629,CC(C)(OO)c1ccccc1,YQHLDYVWEZKEOX-UHFFFAOYSA-N,4999.901435
TOX-4727,,"2,2-bis(4-chlorophenyl)acetic acid",6730,O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,YIOCIFXUGBYCJR-UHFFFAOYSA-N,599.9189005
TOX-4733,,3-methyl-1H-indole,6736,Cc1c[nH]c2ccccc12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,469.9713369
TOX-4855,Versalide,"1-(3-ethyl-5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)ethanone",6930,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,KSEZPRJUTHMFGZ-UHFFFAOYSA-N,469.9909056
TOX-4887,,"1,2,4-trichloro-5-nitrobenzene",6983,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,IBRBMZRLVYKVRF-UHFFFAOYSA-N,1069.782641
TOX-4908,,2-phenylaniline,7015,Nc1ccccc1-c1ccccc1,TWBPWBPGNQWFSJ-UHFFFAOYSA-N,9999.586366
TOX-4956,,2-[N-(2-hydroxyethyl)-3-methylanilino]ethanol,7073,Cc1cccc(N(CCO)CCO)c1,VMNDRLYLEVCGAG-UHFFFAOYSA-N,499.9948787
TOX-5015,THIOQUINOX,"[1,3]dithiolo[4,5-b]quinoxaline-2-thione",7159,S=c1sc2nc3ccccc3nc2s1,ILERPRJWJPJZDN-UHFFFAOYSA-N,1069.791746
TOX-5048,o-Phenetidine,2-ethoxyaniline,7203,CCOc1ccccc1N,ULHFFAFDSSHFDA-UHFFFAOYSA-N,599.9912523
TOX-5155,o-Aminoazotoluene,2-methyl-4-[(2-methylphenyl)diazenyl]aniline,7340,Cc1cc(N=Nc2ccccc2C)ccc1N,PFRYFZZSECNQOL-UHFFFAOYSA-N,799.9822464
TOX-5163,Isobutyl isobutyrate,2-methylpropyl 2-methylpropanoate,7351,CC(C)COC(=O)C(C)C,RXGUIWHIADMCFC-UHFFFAOYSA-N,12799.64498
TOX-5263,,1-methoxy-4-nitrobenzene,7485,COc1ccc([N+](=O)[O-])cc1,BNUHAJGCKIQFGE-UHFFFAOYSA-N,300.0058772
TOX-5331,,1-chloro-4-[(4-chlorophenyl)methyl]benzene,7576,Clc1ccc(Cc2ccc(Cl)cc2)cc1,LQGSWLJZAKVBJH-UHFFFAOYSA-N,1499.943068
TOX-5482,,"1,3-diethylthiourea",2735009,CCNC(=S)NCC,FLVIGYVXZHLUHP-UHFFFAOYSA-N,61.99906228
TOX-5498,,"3,7-dimethylocta-2,6-dienyl acetate",7780,CC(=O)OCC=C(C)CCC=C(C)C,HIGQPQRQIQDZMP-UHFFFAOYSA-N,8000
TOX-5511,BUTYRIC ANHYDRIDE,butanoyl butanoate,7798,CCCC(=O)OC(=O)CCC,YHASWHZGWUONAO-UHFFFAOYSA-N,999.9557523
TOX-5581,,"2,2,2-trichloroethyl carbamate",7883,NC(=O)OCC(Cl)(Cl)Cl,QPLJYAKLSCXZSF-UHFFFAOYSA-N,749.9649214
TOX-5593,butyric acid,butanoic acid,264,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,500.0227004
TOX-5601,,4-methylpentan-2-ol,7910,CC(C)CC(C)O,WVYWICLMDOOCFB-UHFFFAOYSA-N,999.9314921
TOX-5666,Di-n-hexyl azelate,dihexyl nonanedioate,7985,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,MJOKHGMXPJXFTG-UHFFFAOYSA-N,14998.02269
TOX-5688,,"propane-1,3-dithiol",8013,SCCCS,ZJLMKPKYJBQJNH-UHFFFAOYSA-N,1069.990115
TOX-5693,,2-methoxyethanamine,8018,COCCN,ASUDFOJKTJLAIK-UHFFFAOYSA-N,1599.9787
TOX-5811,TRIETHYLENE GLYCOL,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,8172,OCCOCCOCCO,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,18499.50725
TOX-5861,,"2-amino-2-methylpropane-1,3-diol",1531,CC(N)(CO)CO,UXFQFBNBSPQBJW-UHFFFAOYSA-N,140.0039948
TOX-5865,,"tributyl-[(2,4-dichlorophenyl)methyl]phosphanium",8287,CCCC[P+](CCCC)(CCCC)Cc1ccc(Cl)cc1Cl,OAGIOQZKOZPWKF-UHFFFAOYSA-N,469.9416301
TOX-5985,indole,1H-indole,798,c1ccc2[nH]ccc2c1,SIKJAQJRHWYJAI-UHFFFAOYSA-N,1069.990867
TOX-6044,simazine,"6-chloro-2-N,4-N-diethyl-1,3,5-triazine-2,4-diamine",5216,CCNc1nc(Cl)nc(NCC)n1,ODCWYMIRDDJXKW-UHFFFAOYSA-N,4999.975207
TOX-6089,Propionaldehyde,propanal,527,CCC=O,NBBJYMSMWIIQGU-UHFFFAOYSA-N,799.9999994
TOX-6099,Ambrettolide,1-oxacycloheptadec-8-en-2-one,31267,O=C1CCCCCC=CCCCCCCCCO1,NVIPUOMWGQAOIT-UHFFFAOYSA-N,1599.949285
TOX-6104,Glycol dimercaptoacetate,2-(2-sulfanylacetyl)oxyethyl 2-sulfanylacetate,61059,O=C(CS)OCCOC(=O)CS,PSYGHMBJXWRQFD-UHFFFAOYSA-N,50.00570675
TOX-6157,Demeton-S,1-diethoxyphosphorylsulfanyl-2-ethylsulfanylethane,24723,CCOP(=O)(OCC)SCCSCC,GRPRVIYRYGLIJU-UHFFFAOYSA-N,5.798989724
TOX-6171,,"7-chloro-4-(dimethylamino)-6,10,11,12a-tetrahydroxy-1,3,12-trioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide",132466112,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,YMGPFLUAOJHKJO-UHFFFAOYSA-N,4000.361401
TOX-6207,,"naphthalene-1,4-dione",8530,O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,79.99696493
TOX-6221,DIALLYL PHTHALATE,"bis(prop-2-enyl) benzene-1,2-dicarboxylate",8560,C=CCOC(=O)c1ccccc1C(=O)OCC=C,QUDWYFHPNIMBFC-UHFFFAOYSA-N,680.9944698
TOX-6229,Yellow OB,1-[(2-methylphenyl)diazenyl]naphthalen-2-amine,8578,Cc1ccccc1N=Nc1c(N)ccc2ccccc12,BWLVSYUUKOQICP-UHFFFAOYSA-N,999.9693865
TOX-6268,Amprotropine,"[3-(diethylamino)-2,2-dimethylpropyl] 3-hydroxy-2-phenylpropanoate",8645,CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,ORXLOAFNULMXBG-UHFFFAOYSA-N,569.9369621
TOX-6349,p-Dimethylaminodiazobenzenesulfonic acid,[4-(dimethylamino)phenyl]iminosulfamic acid,8808,CN(C)c1ccc(N=NS(=O)(=O)O)cc1,FLTYACUMGDVPLP-UHFFFAOYSA-N,139.9993893
TOX-6480,Betnesol,"[2-(9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] dihydrogen phosphate",2367,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,VQODGRNSFPNSQE-UHFFFAOYSA-N,3999.610538
TOX-6580,Demeton-O,diethoxy-(2-ethylsulfanylethoxy)-sulfanylidene-lambda5-phosphane,9273,CCOP(=S)(OCC)OCCSCC,DGLIBALSRMUQDD-UHFFFAOYSA-N,11.99790976
TOX-6608,,"3-methyl-2,4-dinitro-6-propan-2-ylphenol",9339,Cc1c([N+](=O)[O-])cc(C(C)C)c(O)c1[N+](=O)[O-],XBCVBHKJVWVNID-UHFFFAOYSA-N,139.9970861
TOX-6632,Oxophenarsine,2-amino-4-arsorosophenol,10845,Nc1cc([As]=O)ccc1O,KVGGQNNGLOIZSK-UHFFFAOYSA-N,149.9992464
TOX-6658,ISOCIL,"5-bromo-6-methyl-3-propan-2-yl-1H-pyrimidine-2,4-dione",9412,Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,PSYBGEADHLUXCS-UHFFFAOYSA-N,3749.969646
TOX-6693,,(2-chloro-4-nitrophenoxy)-ethyl-propan-2-yloxy-sulfanylidene-lambda5-phosphane,67599,CCP(=S)(Oc1ccc([N+](=O)[O-])cc1Cl)OC(C)C,QINWTFKFPMRNJP-UHFFFAOYSA-N,61.99846788
TOX-6706,,6-aminopyridine-3-carboxamide,9500,NC(=O)c1ccc(N)nc1,ZLWYEPMDOUQDBW-UHFFFAOYSA-N,319.9953336
TOX-6730,Cyloone,"N-diethoxyphosphinothioyl-1,3-dithiolan-2-imine",67625,CCOP(=S)(N=C1SCCS1)OCC,YWITZONHXPIYDK-UHFFFAOYSA-N,62.00708257
