TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-1346,,N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,2548,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,YKPUWZUDDOIDPM-UHFFFAOYSA-N,511.9698249
TOX-1798,butenafine,1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine,2484,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,800.0604767
TOX-2076,METRIBUZIN,"4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",30479,CSc1nnc(C(C)(C)C)c(=O)n1N,FOXFZRUHNHCZPX-UHFFFAOYSA-N,999.9813351
TOX-2097,,"N,N-dimethylacetamide",31374,CC(=O)N(C)C,FXHOOIRPVKKKFG-UHFFFAOYSA-N,9599.779611
TOX-2112,mechlorethamine,2-chloro-N-(2-chloroethyl)-N-methylethanamine,4033,CN(CCCl)CCCl,HAWPXGHAZFHHAD-UHFFFAOYSA-N,28.99888502
TOX-2156,phenol,phenol,996,Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,7499.760927
TOX-2479,,"[9-fluoro-11-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] pentanoate",578771,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,SNHRLVCMMWUAJD-UHFFFAOYSA-N,1784.05615
TOX-2501,bufexamac,2-(4-butoxyphenyl)-N-hydroxyacetamide,2466,CCCCOc1ccc(CC(=O)NO)cc1,MXJWRABVEGLYDG-UHFFFAOYSA-N,4999.955215
TOX-2725,,"1,1,2,3,4,4-hexachlorobuta-1,3-diene",6901,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,RWNKSTSCBHKHTB-UHFFFAOYSA-N,150.0218591
TOX-3148,glutaraldehyde,pentanedial,3485,O=CCCCC=O,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,5840.175001
TOX-4089,PHENTHOATE,ethyl 2-dimethoxyphosphinothioylsulfanyl-2-phenylacetate,17435,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,XAMUDJHXFNRLCY-UHFFFAOYSA-N,2620.228984
TOX-4113,TRICHLORFON,"2,2,2-trichloro-1-dimethoxyphosphorylethanol",5853,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,NFACJZMKEDPNKN-UHFFFAOYSA-N,1709.953505
TOX-4248,bronopol,"2-bromo-2-nitropropane-1,3-diol",2450,O=[N+]([O-])C(Br)(CO)CO,LVDKZNITIUWNER-UHFFFAOYSA-N,4750.047498
TOX-4287,fenthion,dimethoxy-(3-methyl-4-methylsulfanylphenoxy)-sulfanylidene-lambda5-phosphane,3346,COP(=S)(OC)Oc1ccc(SC)c(C)c1,PNVJTZOFSHSLTO-UHFFFAOYSA-N,499.9371261
TOX-4301,Tributyltin oxide,tributyl(tributylstannyloxy)stannane,16682746,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,APQHKWPGGHMYKJ-UHFFFAOYSA-N,162.9953515
TOX-4304,parathion,diethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,991,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,18.99967382
TOX-4314,METEPA,1-bis(2-methylaziridin-1-yl)phosphoryl-2-methylaziridine,60976,CC1CN1P(=O)(N1CC1C)N1CC1C,AVUYXHYHTTVPRX-UHFFFAOYSA-N,374.9878045
TOX-4351,dimethoate,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,3082,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,1000.161387
TOX-4374,dichlorvos,"2,2-dichloroethenyl dimethyl phosphate",3039,COP(=O)(OC)OC=C(Cl)Cl,OEBRKCOSUFCWJD-UHFFFAOYSA-N,205.9944064
TOX-4375,FLUOROACETIC ACID,2-fluoroacetic acid,5237,O=C(O)CF,QEWYKACRFQMRMB-UHFFFAOYSA-N,25.29935166
TOX-4575,TABUN,[dimethylamino(ethoxy)phosphoryl]formonitrile,6500,CCOP(=O)(C#N)N(C)C,PJVJTCIRVMBVIA-UHFFFAOYSA-N,1.000006168
TOX-4643,METHYL CHLOROFORMATE,methyl carbonochloridate,6586,COC(=O)Cl,XMJHPCRAQCTCFT-UHFFFAOYSA-N,1750.055559
TOX-4649,METHACRYLAMIDE,2-methylprop-2-enamide,6595,C=C(C)C(N)=O,FQPSGWSUVKBHSU-UHFFFAOYSA-N,5999.576994
TOX-4782,Benzyl butyl phthalate,"2-O-benzyl 1-O-butyl benzene-1,2-dicarboxylate",2347,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,IRIAEXORFWYRCZ-UHFFFAOYSA-N,6700.750728
TOX-4799,Azinphos-methyl,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",2268,COP(=S)(OC)SCn1nnc2ccccc2c1=O,CJJOSEISRRTUQB-UHFFFAOYSA-N,64.99344539
TOX-4841,pentachlorophenol,"2,3,4,5,6-pentachlorophenol",992,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,IZUPBVBPLAPZRR-UHFFFAOYSA-N,123.9823082
TOX-5132,SOMAN,"3-[fluoro(methyl)phosphoryl]oxy-2,2-dimethylbutane",7305,CC(OP(C)(=O)F)C(C)(C)C,GRXKLBBBQUKJJZ-UHFFFAOYSA-N,7.799785911
TOX-5150,Ethyl chrysanthemate,"ethyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",7334,CCOC(=O)C1C(C=C(C)C)C1(C)C,VIMXTGUGWLAOFZ-UHFFFAOYSA-N,4999.999996
TOX-5221,,"2,6-dichloro-4-nitroaniline",7430,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,4999.855089
TOX-5538,Oxydiethylene bis(chloroformate),2-(2-carbonochloridoyloxyethoxy)ethyl carbonochloridate,7828,O=C(Cl)OCCOCCOC(=O)Cl,XFSAZBKSWGOXRH-UHFFFAOYSA-N,3399.985282
TOX-5551,,2-chloroethanol,34,OCCCl,SZIFAVKTNFCBPC-UHFFFAOYSA-N,17.99910575
TOX-5571,SARIN,2-[fluoro(methyl)phosphoryl]oxypropane,7871,CC(C)OP(C)(=O)F,DYAHQFWOVKZOOW-UHFFFAOYSA-N,1.079969164
TOX-5574,TEPP,diethoxyphosphoryl diethyl phosphate,7873,CCOP(=O)(OCC)OP(=O)(OCC)OCC,IDCBOTIENDVCBQ-UHFFFAOYSA-N,8.000027567
TOX-5608,Isopropyl chloroformate,propan-2-yl carbonochloridate,7917,CC(C)OC(=O)Cl,IVRIRQXJSNCSPQ-UHFFFAOYSA-N,11.99990209
TOX-5674,Propyl chloroformate,propyl carbonochloridate,7998,CCCOC(=O)Cl,QQKDTTWZXHEGAQ-UHFFFAOYSA-N,9.99991841
TOX-5843,propoxur,(2-propan-2-yloxyphenyl) N-methylcarbamate,4944,CNC(=O)Oc1ccccc1OC(C)C,ISRUGXGCCGIOQO-UHFFFAOYSA-N,1359.967501
TOX-5931,PYRIDAPHENTHION,6-diethoxyphosphinothioyloxy-2-phenylpyridazin-3-one,8381,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,CXJSOEPQXUCJSA-UHFFFAOYSA-N,659.9980608
TOX-5967,Dichlorprop,"2-(2,4-dichlorophenoxy)propanoic acid",8427,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,MZHCENGPTKEIGP-UHFFFAOYSA-N,1399.964264
TOX-6038,FENITROTHION,dimethoxy-(3-methyl-4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,31200,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,2500.018032
TOX-6114,,2-carbonochloridoyloxyethyl carbonochloridate,31282,O=C(Cl)OCCOC(=O)Cl,FMACOGSACRRIMK-UHFFFAOYSA-N,1999.91443
TOX-6304,Diamthazole,"6-[2-(diethylamino)ethoxy]-N,N-dimethyl-1,3-benzothiazol-2-amine",8708,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,WGMYEOIMVYADRJ-UHFFFAOYSA-N,1055.870445
TOX-6356,ETHYL ACRYLATE,ethyl prop-2-enoate,8821,C=CC(=O)OCC,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,2997.089802
