TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-145,hydroquinone,"benzene-1,4-diol",785,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,149.9972755
TOX-1451,,"5-bromo-N-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",2443,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-UHFFFAOYSA-N,199.9981668
TOX-1495,PHALLOIDIN,"28-(2,3-dihydroxy-2-methylpropyl)-18-hydroxy-34-(1-hydroxyethyl)-23,31-dimethyl-12-thia-10,16,22,25,27,30,33,36-octazapentacyclo[12.11.11.03,11.04,9.016,20]hexatriaconta-3(11),4,6,8-tetraene-15,21,24,26,29,32,35-heptone",4752,CC1NC(=O)C(CC(C)(O)CO)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CC(O)CC1C(=O)NC(C)C(=O)N2,KPKZJLCSROULON-UHFFFAOYSA-N,2.000048168
TOX-1544,Crosemperine,"6,16-dihydroxy-5,6,13-trimethyl-4-propan-2-yl-2,8-dioxa-13-azoniatricyclo[8.5.1.013,16]hexadec-10-ene-3,7-dione",53462871,CC(C)C1C(=O)OC2CC[N+]3(C)CC=C(COC(=O)C(C)(O)C1C)C23O,LCOIDUGPENFNRP-UHFFFAOYSA-N,31.99565745
TOX-1556,CHELIDONINE (+),"24-methyl-5,7,18,20-tetraoxa-24-azahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-2,4(8),9,14(22),15,17(21)-hexaen-12-ol",10147,CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,GHKISGDRQRSCII-UHFFFAOYSA-N,2750.202333
TOX-1579,berberine,"16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene",2353,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,30.00294322
TOX-1585,Aritmina,"13-ethyl-8-methyl-8,15-diazahexacyclo[14.2.1.01,9.02,7.010,15.012,17]nonadeca-2,4,6-triene-14,18-diol",2073,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,CJDRUOGAGYHKKD-UHFFFAOYSA-N,219.9730427
TOX-1667,,"1,2,4-trimethoxy-5-prop-1-enylbenzene",17903,CC=Cc1cc(OC)c(OC)cc1OC,RKFAZBXYICVSKP-UHFFFAOYSA-N,175.9940843
TOX-1716,,2-ethoxyethanol,8076,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,5798.871312
TOX-1724,ACETONE CYANOHYDRIN,2-hydroxy-2-methylpropanenitrile,6406,CC(C)(O)C#N,MWFMGBPGAXYFAR-UHFFFAOYSA-N,2.89979555
