TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-1282,CARVACROL,2-methyl-5-propan-2-ylphenol,10364,Cc1ccc(C(C)C)cc1O,RECUKUPTGUEGMW-UHFFFAOYSA-N,999.9933424
TOX-1486,SOLANINE,"2-[5-hydroxy-6-(hydroxymethyl)-2-[(10,14,16,20-tetramethyl-22-azahexacyclo[12.10.0.02,11.05,10.015,23.017,22]tetracos-4-en-7-yl)oxy]-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol",262500,CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,ZGVSETXHNHBTRK-UHFFFAOYSA-N,5.000167043
TOX-1498,aconitine,"[8-acetyloxy-11-ethyl-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate",2012,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,XFSBVAOIAHNAPC-UHFFFAOYSA-N,0.130990668
TOX-1572,papaverine,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline",4680,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,250.0066294
TOX-1579,berberine,"16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene",2353,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,100.0098107
TOX-1588,GELSEMINE,"2'-ethenyl-4'-methylspiro[1H-indole-3,7'-9-oxa-4-azatetracyclo[6.3.1.02,6.05,11]dodecane]-2-one",279057,C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,NFYYATWFXNPTRM-UHFFFAOYSA-N,0.499987594
TOX-1670,,"2,6-dimethyl-4,10-dioxatricyclo[5.2.1.02,6]decane-3,5-dione",2545,CC12C(=O)OC(=O)C1(C)C1CCC2O1,DHZBEENLJMYSHQ-UHFFFAOYSA-N,0.999989807
TOX-1671,Myristicin,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole",4276,C=CCc1cc(OC)c2c(c1)OCO2,BNWJOHGLIBDBOB-UHFFFAOYSA-N,899.9812711
TOX-1676,,(4-hydroxy-5-methyloxolan-2-yl)methyl-trimethylazanium,5079496,CC1OC(C[N+](C)(C)C)CC1O,UQOFGTXDASPNLL-UHFFFAOYSA-N,26.99938027
TOX-1680,,2-(methylamino)-1-phenylpropan-1-ol,5032,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,357.7578854
