TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-145,hydroquinone,"benzene-1,4-diol",785,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,114.9979111
TOX-245,thiotepa,tris(aziridin-1-yl)-sulfanylidene-lambda5-phosphane,5453,S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,9.399801298
TOX-1292,Glucoxy,"2-(3,4-dihydroxy-5-oxooxolan-2-yl)-2-hydroxyacetaldehyde",219402,O=CC(O)C1OC(=O)C(O)C1O,UYUXSRADSPPKRZ-UHFFFAOYSA-N,3199.927324
TOX-1311,Melatonin,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,896,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,355.9954025
TOX-1342,,"3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",5538,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,SHGAZHPCJJPHSC-UHFFFAOYSA-N,74.98951544
TOX-1351,Isorhamnetin,"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",5281654,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,11099.82451
TOX-1358,Malvidin,"2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-3,5,7-triol",159287,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,KZMACGJDUUWFCH-UHFFFAOYSA-O,240.0000001
TOX-1396,Folcidin,2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,135444779,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,512.8306091
TOX-1443,,"22,33-dimethoxy-13,28-dimethyl-2,5,7,20-tetraoxa-13,28-diazaoctacyclo[25.6.2.216,19.13,10.121,25.04,8.031,35.014,39]nonatriaconta-1(33),3(39),4(8),9,16(38),17,19(37),21,23,25(36),31,34-dodecaene",360849,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,YVPXVXANRNDGTA-UHFFFAOYSA-N,56.99821497
TOX-1451,,"5-bromo-N-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",2443,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-UHFFFAOYSA-N,71.9993401
TOX-1498,aconitine,"[8-acetyloxy-11-ethyl-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate",2012,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,XFSBVAOIAHNAPC-UHFFFAOYSA-N,0.079994301
TOX-1520,LASIOCARPINE,"[7-(2-methylbut-2-enoyloxy)-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl 2,3-dihydroxy-2-(1-methoxyethyl)-3-methylbutanoate",613201,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,QHOZSLCIKHUPSU-UHFFFAOYSA-N,88.00106935
TOX-1566,,"19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4,6,8,10,15(20)-heptaene-14,18-dione",2538,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,VSJKWCGYPAHWDS-UHFFFAOYSA-N,234.0282124
TOX-1572,papaverine,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline",4680,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,16.30993893
TOX-1577,Ligularinine,"4-ethylidene-7-hydroxy-6,7-dimethyl-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadecane-3,8-dione",163587,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,BTHCJHQOYFUIMG-UHFFFAOYSA-N,59.99715488
TOX-1579,berberine,"16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene",2353,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,52.65495163
TOX-1581,Spartioidine,"4-ethylidene-7-hydroxy-7-methyl-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",521227,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,FCEVNJIUIMLVML-UHFFFAOYSA-N,80.00383942
